Key,Shanghainese,Korean,Taiwanese,Vietnamese
zou,茶,,,
zou,社,,,
zou,佘,,,
zou,察,,,
zo,造,,,
zo,肇,,,
zo,朝,,,
zo,兆,,,
ziu,善,,,
thanh,,,,城
zen,城,,,
zen,成,,,
zen,人,,,
zeh,食,,,
zeh,入,,,
zeh,术,,,
zeh,日,,,
jiu,全,,,
jiu,权,,,
zi,全,,,
ze,全,,,
ze,站,,,
zang,藏,,,
zang,场,,,
zang,上,,,
zang,長,,,
tzang,長,,,
z,事,,,
z,仕,,,
z,字,,,
z,時,,,
z,市,,,
z,住,,,
z,是,,,
z,自,,,
yu,御,,,
yu,県,,,
yu,园,,,
yu,豫,,,
yu,元,,,
yow,右,,,
yow,由,,,
yow,邮,,,
yow,友,,,
yo,耀,,,
yo,育,,,
yo,校,,,
yo,月,,,
gueh ,,,月,
yin,殷,,,
yin,行,,,
yi,伊,,,
ye,葉,,,
vi,未,,,
veh,物,,,
veh,勿,,,
veh,不,,,
veh,物,,,
yang,阳,,,
yang,杨,,,
ya,夜,,,
ya,野,,,
wou,华,,,
wiu,鞍,,,
wiu,韓,,,
han,,韓,,
we,湾,,,
way,惠,,,
way,汇,,,
way,会,,,
wang,黄,,,
vu,父,,,
vu,午,,,
vu,阜,,,
u,午,,,
u,何,,,
tzu,左,,,
tzong,中,,,
tzow,周,,,
tzo,作,,,
tzo,足,,,
tziu,颛,,,
tzen,镇,,,
tzeh,浙,,,
tzay,醉,,,
tz,指,,,
tz,知,,,
tu,土,,,
tsou,車,,,
tsiu,川,,,
tsen,春,,,
tsen,村,,,
tseh,察,,,
tseh,出,,,
tseh,赤,,,
tse,産,,,
ts,次,,,
tong,通,,,
ti,体,,,
ti,天,,,
su,所,,,
song,宋,,,
song,松,,,
so,少,,,
siu,陕,,,
shiow,休,,,
shin,星,,,
shin,心,,,
shin,兴,,,
shin,新,,,
shiang,翔,,,
shie,溪,,,
shi,徐,,,
shi,西,,,
sai,,,,西
sen,生,,,
sen,沈,,,
sen,生,,,
seh,識,,,
se,山,,,
sang,生,,,
s,私,,,
s,水,,,
s,书,,,
s,思,,,
s,泗,,,
s,四,,,
s,世,,,
s,書,,,
pu,浦,,,
ow,後,,,
ow,区,,,
o,号,,,
niu,男,,,
niu,女,,,
niu,元,,,
niu,南,,,
niu,語,,,
nam,,,,南
lam,,,南,
gi,,,語,
nio,玉,,,
lang,,,人,
nin,人,,,
nie,日,,,
ni,艺,,,
ni,宜,,,
nen,嫩,,,
n,五,,,
mu,母,,,
min,名,,,
min,民,,,
min,闵,,,
ma,買,,,
ven,聞,,,
men,聞,,,
men,门,,,
may,毎,,,
mong,夢,,,
mang,夢,,,
mang,網,,,
lu,芦,,,
lu,路,,,
long,龙,,,
low,楼,,,
lo,楽,,,
lo,陆,,,
lo,老,,,
liu,旅,,,
lin,临,,,
lin,凌,,,
lie,立,,,
li,麗,,,
li,犁,,,
li,联,,,
len,伦,,,
le,来,,,
kow,口,,,
ko,売,,,
ke,开,,,
jiow,球,,,
jio,交,,,
jio,橋,,,
jin,静,,,
jin,警,,,
jin,京,,,
jin,津,,,
jin,泾,,,
jin,金,,,
jin,今,,,
jie,跡,,,
jie,吉,,,
ji,前,,,
ji,紀,,,
ji,埼,,,
ji,綺,,,
ji,济,,,
ji,見,,,
ji,間,,,
in,飲,,,
i,言,,,
i,延,,,
hu,火,,,
hong,虹,,,
hoc,,,,学
ho,学,,,
hiu,漢,,,
he,海,,,
hang,行,,,
hang,航,,,
guay,帰,,,
guang,広,,,
guang,光,,,
gu,果,,,
gu,古,,,
gong,宫,,,
gong,共,,,
gong,公,,,
quoc,,,,国
go,国,,,
go,各,,,
go,高,,,
go,角,,,
giu,馆,,,
ge,間,,,
gang,港,,,
gang,江,,,
ga,嘉,,,
ga,家,,,
ga,界,,,
gia,,,,家
jia,家,,,
fu,阜,,,
fu,富,,,
fow,否,,,
fen,分,,,
fang,方,,,
hen,痕,,,
hen,恒,,,
en,痕,,,
en,恒,,,
ou,話,,,
e-ou,話,,,
e,愛,,,
du,图,,,
du,杜,,,
du,大,,,
dow,头,,,
dong,动,,,
dong,潼,,,
dong,洞,,,
dong,同,,,
dong,東,,,
do,道,,,
do,読,,,
deh,達,,,
die,滴,,,
di,地,,,
di,電,,,
tai,,,台,
de,台,,,
dae,,大,,
dai,,,,大
da,大,,,
chiu,区,,,
chio,曲,,,
chin,休,,,
bo,北,,,
bin,平,,,
bi,編,,,
ben,本,,,
beh,白,,,
bang,浜,,,
ha,核,,,
ha,狭,,,
a,核,,,
a,狭,,,
